,val_loss/val_mse,loss/mse
stock_id=10,"[0.1622399538755417, 0.1376332938671112]","[0.15038281679153442, 0.12577614188194275]"
stock_id=11,"[0.20120464265346527, 0.17414821684360504]","[0.19734248518943787, 0.17028604447841644]"
stock_id=14,"[0.1403549462556839, 0.1110183447599411]","[0.16393791139125824, 0.13460132479667664]"
stock_id=15,"[0.15643012523651123, 0.1256093531847]","[0.16291150450706482, 0.1320907324552536]"
stock_id=16,"[0.178945854306221, 0.15229588747024536]","[0.21685954928398132, 0.19020959734916687]"
stock_id=17,"[0.15986835956573486, 0.13671639561653137]","[0.15047688782215118, 0.1273249387741089]"
stock_id=19,"[0.1483796387910843, 0.1319446712732315]","[0.28169316053390503, 0.26525819301605225]"
stock_id=20,"[0.1632133573293686, 0.137587308883667]","[0.12858159840106964, 0.10295554995536804]"
stock_id=21,"[0.23999083042144775, 0.19616499543190002]","[0.27434203028678894, 0.2305162250995636]"
stock_id=22,"[0.21269425749778748, 0.18376702070236206]","[0.20872825384140015, 0.17980098724365234]"
stock_id=23,"[0.16618481278419495, 0.13888980448246002]","[0.17201590538024902, 0.1447208970785141]"
stock_id=26,"[0.17015761137008667, 0.14267104864120483]","[0.1747646927833557, 0.14727813005447388]"
stock_id=27,"[0.28278636932373047, 0.25476953387260437]","[0.2372337132692337, 0.2092168927192688]"
stock_id=28,"[0.24691364169120789, 0.21068789064884186]","[0.21076850593090057, 0.17454273998737335]"
stock_id=29,"[0.14862056076526642, 0.13230499625205994]","[0.16880717873573303, 0.15249159932136536]"
stock_id=30,"[0.16687814891338348, 0.13511081039905548]","[0.18062563240528107, 0.14885829389095306]"
stock_id=32,"[0.21338193118572235, 0.19701910018920898]","[0.3333856463432312, 0.3170228600502014]"
stock_id=33,"[0.21622002124786377, 0.18997780978679657]","[0.20897239446640015, 0.18273016810417175]"
stock_id=34,"[0.11046451330184937, 0.08403697609901428]","[0.16139650344848633, 0.13496896624565125]"
stock_id=35,"[0.15834379196166992, 0.13128595054149628]","[0.13396434485912323, 0.10690651834011078]"
stock_id=36,"[0.1974325180053711, 0.171915203332901]","[0.21996064484119415, 0.19444335997104645]"
stock_id=39,"[0.11623231321573257, 0.09363481402397156]","[0.12339264899492264, 0.10079514980316162]"
stock_id=40,"[0.20035529136657715, 0.17341744899749756]","[0.23169630765914917, 0.20475848019123077]"
stock_id=41,"[0.16610488295555115, 0.13682742416858673]","[0.19420568645000458, 0.16492819786071777]"
stock_id=42,"[0.20682178437709808, 0.17683646082878113]","[0.2171512246131897, 0.18716591596603394]"
stock_id=43,"[0.11225700378417969, 0.09106083959341049]","[0.11662036925554276, 0.09542420506477356]"
stock_id=44,"[0.14297528564929962, 0.12066221237182617]","[0.17353327572345734, 0.1512202024459839]"
stock_id=46,"[0.12625578045845032, 0.09958793967962265]","[0.19044722616672516, 0.1637793630361557]"
stock_id=0,"[0.18638408184051514, 0.15919850766658783]","[0.1965678185224533, 0.1693822145462036]"
stock_id=1,"[0.19834910333156586, 0.17210166156291962]","[0.1944117546081543, 0.16816432774066925]"
stock_id=2,"[0.10263234376907349, 0.07323357462882996]","[0.13315336406230927, 0.10375458002090454]"
stock_id=3,"[0.26710233092308044, 0.24350900948047638]","[0.2458554357290268, 0.22226211428642273]"
stock_id=4,"[0.17108239233493805, 0.14375513792037964]","[0.18720504641532898, 0.15987780690193176]"
stock_id=5,"[0.2079046666622162, 0.17952989041805267]","[0.2232787311077118, 0.19490393996238708]"
stock_id=6,"[0.2248188704252243, 0.20071683824062347]","[0.2567264139652252, 0.23262442648410797]"
stock_id=7,"[0.26856541633605957, 0.23357799649238586]","[0.23634488880634308, 0.20135749876499176]"
stock_id=8,"[0.23407378792762756, 0.2138911634683609]","[0.2403118908405304, 0.22012923657894135]"
stock_id=9,"[0.26073044538497925, 0.2349492907524109]","[0.26662883162498474, 0.24084769189357758]"
stock_id=47,"[0.21030443906784058, 0.17671045660972595]","[0.24952226877212524, 0.21592827141284943]"
stock_id=48,"[0.1494937539100647, 0.12159077823162079]","[0.1991862952709198, 0.17128333449363708]"
stock_id=50,"[0.21066947281360626, 0.1824357658624649]","[0.17643187940120697, 0.1481981873512268]"
stock_id=51,"[0.14982165396213531, 0.12221536785364151]","[0.14209188520908356, 0.11448560655117035]"
stock_id=52,"[0.1527700573205948, 0.12348467111587524]","[0.14825060963630676, 0.11896523088216782]"
stock_id=53,"[0.12972770631313324, 0.10725748538970947]","[0.1354604959487915, 0.11299026012420654]"
stock_id=55,"[0.1735493242740631, 0.14690595865249634]","[0.20613566040992737, 0.1794922947883606]"
stock_id=56,"[0.14796647429466248, 0.1258891224861145]","[0.14869050681591034, 0.12661315500736237]"
stock_id=58,"[0.1893421709537506, 0.1637650728225708]","[0.19572079181671143, 0.1701437085866928]"
stock_id=59,"[0.1798185110092163, 0.1527189016342163]","[0.32841023802757263, 0.30131062865257263]"
stock_id=60,"[0.39272260665893555, 0.3648889660835266]","[0.2266865074634552, 0.19885285198688507]"
stock_id=61,"[0.16525612771511078, 0.14011038839817047]","[0.19136935472488403, 0.16622360050678253]"
stock_id=62,"[0.16454613208770752, 0.13843277096748352]","[0.15612196922302246, 0.13000862300395966]"
stock_id=63,"[0.22064560651779175, 0.1926726996898651]","[0.24011826515197754, 0.2121453434228897]"
stock_id=64,"[0.13820941746234894, 0.11175514757633209]","[0.1463516801595688, 0.11989741772413254]"
stock_id=66,"[0.20251548290252686, 0.18104901909828186]","[0.2412131130695343, 0.2197466641664505]"
stock_id=67,"[0.16374503076076508, 0.13649171590805054]","[0.1672058403491974, 0.13995252549648285]"
stock_id=68,"[0.13486544787883759, 0.10331954061985016]","[0.15393640100955963, 0.1223904937505722]"
stock_id=69,"[0.19939036667346954, 0.17091155052185059]","[0.20190034806728363, 0.17342153191566467]"
stock_id=70,"[0.18122246861457825, 0.15288390219211578]","[0.1657348871231079, 0.13739630579948425]"
stock_id=72,"[0.1773364245891571, 0.1470327377319336]","[0.17591987550258636, 0.14561620354652405]"
stock_id=73,"[0.18836714327335358, 0.16304351389408112]","[0.14958912134170532, 0.12426548451185226]"
stock_id=74,"[0.1846829652786255, 0.15889973938465118]","[0.17997650802135468, 0.15419329702854156]"
stock_id=76,"[0.1492021679878235, 0.12547391653060913]","[0.15041595697402954, 0.12668770551681519]"
stock_id=77,"[0.19897323846817017, 0.15573669970035553]","[0.17486202716827393, 0.1316254734992981]"
stock_id=78,"[0.2957843840122223, 0.2682124674320221]","[0.20796577632427216, 0.18039381504058838]"
stock_id=81,"[0.2713219225406647, 0.2507103979587555]","[0.3212152123451233, 0.3006037175655365]"
stock_id=82,"[0.1938033252954483, 0.1672488898038864]","[0.21905642747879028, 0.1925020068883896]"
stock_id=83,"[0.23176750540733337, 0.20514704287052155]","[0.23894265294075012, 0.2123222053050995]"
stock_id=84,"[0.1870877593755722, 0.1588798612356186]","[0.18153096735477448, 0.15332308411598206]"
stock_id=85,"[0.14688889682292938, 0.12146210670471191]","[0.19467191398143768, 0.16924512386322021]"
stock_id=86,"[0.26259294152259827, 0.23707215487957]","[0.2508199214935303, 0.2252991497516632]"
stock_id=87,"[0.23351706564426422, 0.21747292578220367]","[0.22575950622558594, 0.2097153663635254]"
stock_id=88,"[0.2705138027667999, 0.24123898148536682]","[0.3043591380119324, 0.2750842869281769]"
stock_id=89,"[0.2257821261882782, 0.20032623410224915]","[0.22991961240768433, 0.20446375012397766]"
stock_id=90,"[0.19365528225898743, 0.17093732953071594]","[0.19707003235816956, 0.17435209453105927]"
